id,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds
40641118,Private room in rental unit,Private room,2,1.5 baths,1,2
40644195,Shared room in rental unit,Shared room,1,1 shared bath,1,
40649368,Entire rental unit,Entire home/apt,3,1 bath,1,1
40651511,Private room in casa particular,Private room,1,1 private bath,1,1
40653017,Private room in condo,Private room,2,1 private bath,1,1
40654219,Entire rental unit,Entire home/apt,6,1 bath,2,3
40655748,Entire rental unit,Entire home/apt,4,1 bath,1,1
40657002,Entire rental unit,Entire home/apt,3,1 bath,1,1
40657056,Entire rental unit,Entire home/apt,5,1 bath,2,4
40657464,Entire rental unit,Entire home/apt,2,1 bath,1,1
40658053,Entire guest suite,Entire home/apt,7,1 bath,2,5
40658238,Private room in townhouse,Private room,2,1 shared bath,1,2
40666703,Private room in rental unit,Private room,2,1 bath,1,1
40668364,Entire loft,Entire home/apt,4,2 baths,2,2
40668821,Private room in rental unit,Private room,4,1 shared bath,2,1
40669571,Private room in rental unit,Private room,2,1 shared bath,1,1
40670872,Entire rental unit,Entire home/apt,2,1 bath,1,1
40672621,Entire rental unit,Entire home/apt,6,1.5 baths,2,3
40673058,Private room in rental unit,Private room,2,1 shared bath,1,1
40674094,Private room in rental unit,Private room,1,1 shared bath,2,1
40676498,Entire rental unit,Entire home/apt,2,1 bath,,1
40677597,Entire rental unit,Entire home/apt,4,1 bath,2,2
40677711,Entire rental unit,Entire home/apt,4,1 bath,2,2
40677959,Private room in rental unit,Private room,3,1 shared bath,,2
40678317,Private room in rental unit,Private room,2,1 shared bath,1,1
40678945,Private room in rental unit,Private room,2,1 shared bath,1,1
40680003,Private room in rental unit,Private room,2,1 shared bath,1,1
40681398,Entire guest suite,Entire home/apt,3,1 bath,1,2
40681902,Entire rental unit,Entire home/apt,2,1 bath,,1
40682851,Entire rental unit,Entire home/apt,4,1 bath,2,6
40683527,Entire rental unit,Entire home/apt,8,1 bath,3,4
40692333,Entire rental unit,Entire home/apt,4,1 bath,1,2
40695564,Private room in rental unit,Private room,1,2 baths,2,2
40696690,Entire rental unit,Entire home/apt,2,1 bath,1,2
40696745,Entire rental unit,Entire home/apt,2,1 bath,,
40697042,Private room in rental unit,Private room,2,1 shared bath,1,1
40697753,Entire rental unit,Entire home/apt,2,1 bath,1,1
40701124,Entire rental unit,Entire home/apt,6,2.5 baths,2,3
40701936,Entire rental unit,Entire home/apt,2,1 bath,1,1
40704152,Entire home,Entire home/apt,5,2 baths,2,3
40704515,Private room in guesthouse,Private room,1,1 private bath,1,
40704734,Private room in rental unit,Private room,1,1 shared bath,1,1
40704904,Entire rental unit,Entire home/apt,6,1 bath,2,1
40705021,Private room in rental unit,Private room,2,1 shared bath,1,1
40705586,Entire townhouse,Entire home/apt,4,1 bath,1,2
40707829,Entire rental unit,Entire home/apt,2,1 bath,1,1
40708764,Private room in rental unit,Private room,2,1 shared bath,1,1
40710124,Entire rental unit,Entire home/apt,3,1 bath,1,1
40711239,Private room in rental unit,Private room,2,1 private bath,1,1
40719651,Entire rental unit,Entire home/apt,3,2 baths,2,2
40721525,Entire rental unit,Entire home/apt,2,1 bath,1,1
40721922,Entire rental unit,Entire home/apt,2,1 bath,1,1
40723112,Entire rental unit,Entire home/apt,4,1 bath,1,1
40724128,Entire rental unit,Entire home/apt,8,1 bath,2,3
40725145,Private room in rental unit,Private room,2,1 shared bath,1,1
40725405,Entire townhouse,Entire home/apt,2,1 bath,1,1
40727235,Private room in rental unit,Private room,2,1 shared bath,,1
40727260,Entire condo,Entire home/apt,5,2.5 baths,3,4
40727326,Entire condo,Entire home/apt,2,1 bath,1,1
40728239,Private room in rental unit,Private room,2,1 shared bath,1,1
40728425,Private room in loft,Private room,3,1 bath,1,1
40728639,Private room in rental unit,Private room,4,1 shared bath,1,1
40731114,Entire rental unit,Entire home/apt,3,1 bath,1,2
40732157,Entire rental unit,Entire home/apt,3,1 bath,1,2
40734111,Entire rental unit,Entire home/apt,4,1 bath,,2
40735445,Entire rental unit,Entire home/apt,2,1 bath,1,1
40735709,Private room in rental unit,Private room,2,1 shared bath,1,
40736481,Private room in rental unit,Private room,2,1 shared bath,1,2
40737415,Entire home,Entire home/apt,7,1 bath,3,5
40738005,Room in hotel,Private room,2,1 private bath,1,1
40739293,Entire rental unit,Entire home/apt,4,1 bath,2,2
40744843,Entire rental unit,Entire home/apt,8,1 bath,3,5
40745955,Entire condo,Entire home/apt,6,2 baths,2,3
40750433,Entire rental unit,Entire home/apt,2,1 bath,1,1
40750579,Entire rental unit,Entire home/apt,2,1 bath,1,1
40750841,Entire rental unit,Entire home/apt,8,1 bath,4,5
40750941,Entire townhouse,Entire home/apt,4,1 bath,1,2
40752323,Private room in condo,Private room,1,1 shared bath,1,1
40753933,Private room in rental unit,Private room,2,1 shared bath,1,1
40754270,Entire condo,Entire home/apt,2,2 baths,2,2
40756088,Private room in home,Private room,2,1 shared bath,1,2
40756238,Room in hotel,Private room,5,1 private bath,1,3
40756255,Room in hotel,Private room,4,1 private bath,1,2
40756268,Room in hotel,Private room,2,1 private bath,1,1
40756300,Room in hotel,Private room,2,1 private bath,1,1
40756435,Room in hotel,Private room,2,1 private bath,1,1
40756456,Room in hotel,Private room,2,1 private bath,1,1
40756468,Room in hotel,Private room,2,1 private bath,1,1
40756475,Room in hotel,Private room,4,1 private bath,1,2
40756575,Entire home,Entire home/apt,2,1 bath,,1
40758693,Private room in home,Private room,1,1 shared bath,1,1
40759693,Entire rental unit,Entire home/apt,6,1 bath,2,2
40760516,Private room in rental unit,Private room,1,1 private bath,1,1
40761556,Entire rental unit,Entire home/apt,2,1 bath,1,1
40761816,Private room in rental unit,Private room,2,1 shared bath,,
40762381,Entire rental unit,Entire home/apt,4,1 bath,1,2
40763916,Private room in rental unit,Private room,2,1 shared bath,1,1
40764862,Private room in bed and breakfast,Private room,1,2 shared baths,1,1
40777106,Private room in home,Private room,1,1 private bath,1,1
40777336,Entire rental unit,Entire home/apt,3,1 bath,1,1
40777849,Private room in rental unit,Private room,1,1 shared bath,1,1
40780235,Entire rental unit,Entire home/apt,4,1 bath,2,3
40781102,Entire rental unit,Entire home/apt,4,1 bath,2,3
40783165,Private room in rental unit,Private room,2,1 shared bath,1,1
40783447,Entire rental unit,Entire home/apt,2,1 bath,,2
40783667,Entire rental unit,Entire home/apt,5,1 bath,2,3
40786270,Private room in rental unit,Private room,1,1 bath,1,1
40786379,Entire rental unit,Entire home/apt,4,1 bath,1,2
40787065,Entire rental unit,Entire home/apt,3,1 bath,1,2
40791084,Private room in serviced apartment,Private room,2,1 shared bath,1,1
40794509,Entire rental unit,Entire home/apt,6,2 baths,3,4
40796348,Entire townhouse,Entire home/apt,5,1.5 baths,2,4
40796600,Private room in home,Private room,2,1 shared bath,3,1
40797714,Entire home,Entire home/apt,2,1 bath,,1
40798553,Entire rental unit,Entire home/apt,2,1 bath,1,1
40799715,Private room in rental unit,Private room,1,1 shared bath,2,1
40800148,Private room in home,Private room,2,1 bath,1,1
40804831,Entire rental unit,Entire home/apt,13,2 baths,5,7
40806055,Private room in rental unit,Private room,1,1 shared bath,1,1
40806145,Entire loft,Entire home/apt,5,1 bath,1,2
40806623,Entire loft,Entire home/apt,2,1 bath,1,1
40807542,Private room in rental unit,Private room,5,1 private bath,1,1
40816022,Entire rental unit,Entire home/apt,4,1 bath,1,4
40816175,Entire rental unit,Entire home/apt,4,1 bath,2,2
40816205,Entire rental unit,Entire home/apt,4,1 bath,1,2
40816977,Entire rental unit,Entire home/apt,4,1 bath,2,2
40817592,Entire rental unit,Entire home/apt,4,1 bath,1,2
40823324,Entire rental unit,Entire home/apt,3,1 bath,1,1
40823839,Private room in rental unit,Private room,1,1 shared bath,1,1
40824219,Private room in townhouse,Private room,1,1 shared bath,1,1
40825740,Entire home,Entire home/apt,6,4 baths,3,3
40825964,Private room in townhouse,Private room,2,1 shared bath,1,1
40833186,Private room in serviced apartment,Private room,2,1 shared bath,1,1
40835207,Entire rental unit,Entire home/apt,6,2 baths,3,3
40837137,Private room in home,Private room,1,1 shared bath,1,1
40838018,Entire rental unit,Entire home/apt,1,1 bath,1,1
40839416,Private room in rental unit,Private room,1,2 shared baths,1,1
40843961,Entire rental unit,Entire home/apt,3,1 bath,2,2
40843980,Entire home,Entire home/apt,6,1 bath,2,3
40844212,Private room in rental unit,Private room,2,1 bath,1,
40846105,Private room in rental unit,Private room,1,1 shared bath,1,1
40846471,Entire rental unit,Entire home/apt,5,1 bath,2,1
40848653,Private room in rental unit,Private room,2,1 shared bath,,1
40849947,Entire condo,Entire home/apt,2,1 bath,1,1
40860187,Entire home,Entire home/apt,4,1 bath,2,2
40860829,Entire rental unit,Entire home/apt,4,1 bath,1,1
40861223,Entire loft,Entire home/apt,6,2 baths,2,1
40861640,Entire rental unit,Entire home/apt,3,1 bath,1,2
40864895,Entire rental unit,Entire home/apt,2,1 bath,2,2
40867515,Room in hotel,Private room,2,1 private bath,1,1
40868745,Private room in home,Private room,4,1 bath,1,
40869871,Entire rental unit,Entire home/apt,2,1 bath,1,1
40870366,Private room in rental unit,Private room,1,2 baths,1,
40870831,Entire rental unit,Entire home/apt,2,1 bath,1,1
40871071,Private room in rental unit,Private room,2,1 bath,2,2
40871135,Entire rental unit,Entire home/apt,1,1 bath,,1
40871301,Private room in rental unit,Private room,2,1 shared bath,,1
40872251,Private room in rental unit,Private room,2,1 private bath,1,1
40873601,Entire rental unit,Entire home/apt,2,1 bath,1,2
40873866,Private room in home,Private room,2,2 shared baths,1,1
40874249,Private room in home,Private room,2,2 shared baths,1,1
40874456,Private room in home,Private room,2,2 shared baths,,1
40874667,Private room in home,Private room,2,2 shared baths,1,1
40886497,Entire rental unit,Entire home/apt,4,1 bath,2,1
40886721,Entire rental unit,Entire home/apt,5,1 bath,2,2
40887882,Entire rental unit,Entire home/apt,4,1 bath,2,2
40888693,Entire rental unit,Entire home/apt,6,1 bath,2,3
40889145,Entire rental unit,Entire home/apt,4,1 bath,1,2
40889966,Private room in guesthouse,Private room,2,,,
40890824,Entire rental unit,Entire home/apt,3,1 bath,1,1
40891496,Entire townhouse,Entire home/apt,5,3 baths,2,2
40892321,Private room in rental unit,Private room,2,1 shared bath,1,1
40893251,Entire rental unit,Entire home/apt,7,2 baths,3,5
40893641,Entire condo,Entire home/apt,4,1 bath,2,3
40894010,Entire rental unit,Entire home/apt,4,1 bath,1,2
40894061,Entire rental unit,Entire home/apt,2,1 bath,,1
40894601,Private room in rental unit,Private room,2,1 private bath,1,1
40896294,Entire rental unit,Entire home/apt,3,1 bath,1,1
40896611,Entire condo,Entire home/apt,2,1 bath,,1
40896785,Entire condo,Entire home/apt,4,1 bath,1,1
40896822,Private room in rental unit,Private room,1,1 shared bath,1,
40897147,Private room in rental unit,Private room,1,1 shared bath,1,1
40897658,Entire rental unit,Entire home/apt,4,1 bath,,1
40899576,Entire home,Entire home/apt,3,1 bath,2,3
40900757,Entire rental unit,Entire home/apt,2,1 bath,,2
40901664,Entire rental unit,Entire home/apt,4,1 bath,1,2
