,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
11623,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.700480365792417
11625,Brooklyn,Private room,Private Room,4,1.0,1.5,3.8066624897703196
11626,Brooklyn,Private room,Private Room,2,1.0,1.5,4.007333185232471
11627,Queens,Private room,Private Room,2,1.0,1.0,4.382026634673881
11628,Brooklyn,Entire home/apt,Entire Unit,5,4.0,2.0,5.19295685089021
11629,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.941642422609304
11632,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.867534450455582
11633,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.532599493153256
11634,Brooklyn,Entire home/apt,Private Room,2,1.0,1.0,4.867534450455582
11636,Brooklyn,Private room,Private Room,1,1.0,1.0,4.382026634673881
11637,Brooklyn,Private room,Private Room,1,1.0,1.0,4.382026634673881
11638,Queens,Private room,Private Room,2,1.0,1.0,4.31748811353631
11640,Queens,Private room,Private Room,2,1.0,1.0,4.418840607796598
11642,Brooklyn,Private room,Private Room,2,3.0,1.0,3.6888794541139363
11643,Queens,Entire home/apt,Entire Unit,6,3.0,2.0,5.666426688112432
11651,Bronx,Private room,Private Room,1,1.0,1.0,3.367295829986474
11653,Manhattan,Private room,Private Room,2,1.0,2.0,4.174387269895637
11654,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.41610040220442
11655,Queens,Private room,Private Room,2,1.0,1.0,3.8918202981106265
11656,Brooklyn,Private room,Private Room,2,0.0,1.0,4.499809670330265
11658,Bronx,Private room,Private Room,1,1.0,1.0,4.382026634673881
11659,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.74493212836325
11660,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.997212273764115
11662,Queens,Entire home/apt,Entire Unit,4,1.0,1.0,4.31748811353631
11663,Brooklyn,Private room,Private Room,2,1.0,1.0,4.0943445622221
11667,Brooklyn,Private room,Private Room,2,1.0,1.0,3.912023005428146
11669,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.075173815233827
