id,accommodates,bathrooms_text,bedrooms,beds
808774,2,1 bath,1,1
808836,4,1 bath,1,2
808851,2,1 shared bath,1,1
809567,2,1 shared bath,1,1
810346,2,1 bath,1,1
811238,4,1 bath,1,2
812057,6,1 bath,2,4
812671,5,1 bath,1,3
812695,3,1 private bath,2,2
812938,2,1 bath,1,1
813554,2,1 bath,1,1
814327,1,1 private bath,1,1
815465,4,1 bath,,2
815544,5,2 baths,2,2
816888,2,1 bath,1,1
817113,3,1 shared bath,1,2
817355,2,1 bath,1,2
818337,2,1 shared bath,1,1
818451,2,1 bath,1,1
818481,2,1 shared bath,1,1
818518,2,1 shared bath,1,1
819206,2,1 shared bath,1,1
819228,2,1 shared bath,1,1
819416,5,1 bath,2,2
819893,2,1 shared bath,1,1
819956,2,1.5 shared baths,1,2
820218,2,,1,1
820710,2,1 shared bath,1,1
820801,4,1 bath,2,2
820953,2,1 bath,2,1
821135,4,1 bath,1,1
823520,2,1 private bath,1,2
823880,2,1 shared bath,1,1
824421,1,1 bath,1,1
825193,2,1 bath,1,1
825550,3,1 bath,1,1
826685,2,1 shared bath,1,1
828130,2,1 bath,1,1
828553,2,1 bath,1,1
